PreferenceID,Client_num,PreferenceType,EmailSubscription,SMSSubscription,PhoneCallSubscription
993014,97674804,Support,False,True,False
540007,50667443,Marketing,False,True,False
762000,15595600,Marketing,True,True,True
805919,37960834,Support,False,False,False
413631,43604544,Support,False,False,True
267309,52292738,Support,True,False,True
195169,73642581,Marketing,False,False,False
667922,30993823,Marketing,True,True,False
32107,94773573,Support,False,True,True
816315,27502935,Support,True,False,True
28873,98069026,Support,False,False,True
555711,61204984,Marketing,True,False,False
509575,32038861,Support,False,False,False
623987,43193760,Support,False,False,False
210576,95409578,Support,True,False,True
666535,28822998,Support,False,True,True
114869,47927269,Marketing,False,True,False
847736,45889269,Support,False,False,False
651346,70523136,Support,True,True,True
299785,43976562,Marketing,False,True,True
498846,89845474,Marketing,False,False,False
804250,44823292,Support,True,True,True
831963,80915909,Support,False,False,False
139373,71368651,Support,False,False,True
630223,68008428,Marketing,False,False,False
536986,53004797,Support,True,False,True
722186,20913625,Marketing,False,True,False
103896,45360752,Marketing,False,False,True
921630,71559489,Support,False,True,True
76533,14985461,Marketing,False,True,True
174684,18676951,Marketing,True,True,False
37491,42636087,Marketing,True,True,True
321430,60715045,Support,False,False,False
700313,36718927,Marketing,True,False,True
966530,80020056,Support,False,False,True
550913,22626131,Marketing,True,True,True
348591,45866204,Marketing,True,False,True
113799,17102100,Marketing,False,False,True
239238,83465592,Marketing,False,False,True
45332,82991806,Marketing,True,False,True
517918,76411248,Support,True,False,True
995362,25522316,Support,False,False,True
107023,48069845,Support,False,True,True
424485,62394806,Support,False,False,False
268265,91071420,Marketing,False,False,True
189298,58019814,Marketing,True,False,False
180905,40603744,Marketing,False,True,False
279081,59430925,Support,False,False,False
439841,74130709,Support,False,False,False
710704,92681579,Marketing,False,True,True
590168,23332378,Marketing,True,False,True
98138,71664688,Support,True,True,False
288120,16835293,Marketing,False,True,False
888345,86034279,Support,True,True,True
623077,47477428,Marketing,False,True,False
656012,52376617,Marketing,False,True,True
743488,49158951,Support,True,False,False
122390,26128940,Support,False,True,False
563930,64009681,Marketing,True,True,False
573426,29937620,Marketing,False,False,True
686923,29771361,Marketing,True,False,True
515025,28057886,Marketing,True,True,False
858743,55745386,Marketing,False,False,False
74661,48269980,Support,False,True,False
790739,60035842,Marketing,False,True,False
723603,52953636,Marketing,True,True,True
550002,23144693,Support,True,False,False
337875,60571284,Marketing,True,False,False
762982,76066075,Marketing,False,False,True
904073,54586715,Marketing,True,True,False
272823,36160425,Marketing,True,True,True
492459,74736088,Marketing,True,False,False
482493,97110607,Marketing,True,True,True
505648,26535117,Support,True,False,False
886370,25764790,Support,False,True,False
906864,74357128,Marketing,True,False,False
63185,10476336,Support,False,False,False
234431,24216647,Marketing,False,True,True
466482,50785299,Marketing,False,False,False
975234,67031485,Support,True,True,False
981064,22000267,Support,True,False,True
896634,15610972,Marketing,False,False,True
6753,98055877,Marketing,True,False,True
440944,77694407,Support,False,True,False
973157,31782925,Marketing,True,True,True
999158,32113669,Support,True,True,False
75718,36947337,Support,True,True,True
655860,96479087,Marketing,True,False,True
996478,44325934,Support,False,True,False
555358,57976142,Support,True,True,True
445227,70780124,Marketing,False,False,False
943727,76819773,Marketing,True,False,False
628757,85450657,Support,False,True,True
239659,56011715,Marketing,False,True,True
687208,97907446,Marketing,False,True,True
455634,85962175,Marketing,False,True,True
92641,71096323,Support,False,True,True
424247,24392836,Support,True,True,True
730459,73068517,Marketing,True,False,True
939279,41182127,Support,True,False,False
151397,89674783,Marketing,True,True,False
199337,17170409,Support,True,False,False
951710,91982449,Marketing,False,True,False
759225,19443568,Support,False,True,True
1599,79750874,Support,True,False,True
813618,94404880,Support,True,False,False
463437,62483945,Support,True,True,False
853312,76147994,Support,False,True,True
932616,18431488,Support,True,True,True
323451,68231107,Support,False,False,False
56061,69028149,Marketing,False,True,False
499914,52295937,Marketing,True,False,True
594807,44081876,Marketing,False,False,False
639631,17537943,Support,False,False,False
284575,15840790,Support,False,False,False
617844,42534842,Support,True,True,False
967377,21086799,Support,False,True,True
672888,54927571,Support,False,True,False
851772,26854284,Marketing,False,True,False
647274,10149077,Marketing,False,False,True
491205,18767135,Support,False,True,True
445523,21842849,Marketing,False,False,False
924318,20932737,Support,True,True,False
827242,84498205,Marketing,False,True,False
784112,82273302,Marketing,True,False,False
621948,61611163,Marketing,False,True,True
353106,89662558,Marketing,False,False,False
763075,31999530,Support,True,False,True
532071,79819700,Support,False,False,True
534924,95933484,Marketing,True,False,False
532448,95120763,Support,True,False,True
30993,34292256,Support,False,True,True
615842,43293369,Support,False,True,True
746985,15777026,Marketing,True,False,True
565104,82141521,Support,False,False,False
672123,18986432,Support,False,True,True
524637,31404450,Marketing,True,True,True
488669,13091007,Support,True,True,False
873071,77482803,Marketing,True,False,True
429098,71822576,Support,True,True,False
402917,81784614,Support,False,False,True
192785,98681493,Marketing,False,False,True
337665,70624943,Support,False,True,True
182937,87921327,Support,True,True,False
200872,44058490,Marketing,True,True,True
450401,98233366,Marketing,False,True,True
70132,74119479,Marketing,True,True,False
826369,21357278,Marketing,True,False,True
117389,26752675,Support,True,False,False
710677,88784276,Marketing,False,True,True
387252,53319974,Marketing,True,False,True
96273,22491469,Marketing,True,True,False
920198,85307807,Marketing,False,True,True
459397,95668063,Marketing,True,False,False
894479,62319467,Marketing,False,True,True
488575,65716448,Support,True,True,True
680552,11577631,Marketing,True,False,False
257051,93137057,Marketing,True,False,False
953389,86749882,Support,True,False,False
733492,24425151,Marketing,True,False,True
798616,50156616,Marketing,True,False,True
16261,78408956,Support,False,False,False
567852,12641048,Marketing,True,False,False
891225,94302863,Support,False,True,True
837499,54039448,Support,True,False,True
689591,91889165,Support,False,False,True
549066,84265985,Support,False,True,False
502580,50684762,Marketing,True,True,True
112441,79389108,Support,False,False,True
776391,73423663,Marketing,False,True,False
125184,35278079,Marketing,False,False,False
158362,60141632,Support,False,False,True
118154,29964395,Support,True,False,True
433113,83338527,Marketing,True,True,False
715470,85725416,Marketing,False,True,True
381424,22879387,Support,False,False,False
416757,65749399,Support,True,True,True
663029,25762261,Marketing,True,True,False
221586,79858774,Marketing,False,True,True
752047,81563986,Marketing,False,False,False
715697,57373476,Support,True,True,False
444165,29873242,Support,False,False,True
487154,25122661,Marketing,False,False,False
689429,33118667,Support,False,False,False
131287,93233805,Support,True,True,True
711391,88810538,Marketing,True,False,False
709050,46354507,Support,False,False,False
203655,77539406,Marketing,False,False,True
14135,18302119,Support,False,True,False
432495,75825060,Support,True,True,False
704021,48512759,Support,True,False,False
412946,23100162,Marketing,True,True,False
11187,74516359,Marketing,False,False,True
107064,36759777,Marketing,True,True,True
890287,17269534,Marketing,True,True,False
915172,10526315,Marketing,True,True,True
323615,83108231,Support,False,False,True
442373,64417372,Support,True,False,False
291770,56694026,Support,True,False,False
217493,75774064,Support,True,True,False
556369,10076962,Marketing,True,True,False
323741,37707636,Support,True,False,True
777176,34108761,Support,False,True,True
908945,88895077,Support,False,False,False
688605,93313122,Support,True,True,True
692069,48784725,Marketing,False,True,True
4436,48846740,Support,False,True,True
91109,59894329,Support,True,True,True
812453,37824614,Marketing,True,True,True
202328,24614604,Marketing,True,True,False
634005,15083453,Marketing,False,False,True
895766,83219367,Support,False,True,True
681748,65771414,Support,False,True,True
480716,39976192,Marketing,True,False,True
123271,20039202,Marketing,True,True,False
217054,70567435,Marketing,False,False,True
57490,36275493,Support,True,True,True
603243,41287932,Marketing,True,True,False
77370,95037660,Marketing,True,False,False
612015,84226034,Marketing,True,False,False
633993,10299916,Support,False,False,False
402091,55915624,Support,True,False,False
672060,50598931,Marketing,True,True,True
400272,36703297,Support,False,False,True
470210,69853360,Marketing,True,True,True
279035,47498353,Support,True,False,True
143402,53720604,Support,False,False,False
479798,69045976,Marketing,True,False,False
939270,84842598,Marketing,True,False,False
592249,26516573,Marketing,False,False,False
929616,91348004,Marketing,False,False,True
619313,59746391,Support,False,True,True
967348,15219493,Marketing,False,True,True
707706,38234058,Support,False,True,True
749233,35820398,Support,False,True,False
202854,93015409,Marketing,True,True,False
366075,64411798,Support,True,False,True
905379,18613400,Marketing,False,True,True
927914,10421976,Marketing,False,False,True
132042,64826409,Marketing,False,True,False
71788,44019076,Support,False,True,False
164559,24343695,Support,True,True,False
182859,82993241,Support,False,True,False
749421,56691599,Support,False,False,True
120923,86722507,Support,True,False,False
820633,22455551,Support,True,True,True
292664,21658336,Support,True,True,True
123715,91743984,Support,False,False,True
181056,64353768,Marketing,False,True,True
211314,98024720,Support,False,False,True
187073,16078400,Support,True,True,False
455985,11866019,Support,True,False,True
337878,31939367,Support,True,False,True
302115,70732525,Support,False,True,True
532394,51884135,Marketing,False,True,True
376920,69545941,Marketing,True,False,False
917975,76097197,Marketing,False,True,False
645864,98747591,Support,True,False,False
198674,20428526,Support,True,False,True
496315,37262676,Marketing,False,True,True
722261,77138861,Support,True,False,False
814690,14873225,Marketing,True,True,True
571122,37934789,Support,False,False,True
530886,16186777,Support,True,False,True
991815,61900465,Marketing,True,False,False
929992,64405665,Marketing,True,False,False
154490,23361034,Marketing,True,False,True
545291,82243635,Support,False,False,True
270558,17627083,Marketing,False,True,False
11425,56699727,Support,False,True,False
52077,35593673,Support,False,False,True
982516,70691043,Marketing,False,True,False
390471,63711956,Support,True,False,False
913636,15589634,Support,True,False,True
669335,10329914,Support,True,True,False
120621,77980520,Support,True,True,True
819301,58671717,Marketing,True,True,True
193322,37940512,Marketing,False,True,False
860149,47752062,Support,False,True,True
663797,93401323,Support,True,True,False
60400,37709762,Support,False,False,True
579580,36739810,Support,True,False,False
240897,58821444,Support,True,False,False
44172,50964396,Marketing,True,True,False
652189,36416119,Marketing,False,False,False
754580,78738256,Marketing,False,True,True
957765,74386444,Support,False,True,False
335877,73316757,Marketing,True,True,True
370876,15776608,Marketing,True,True,True
304326,45804542,Support,True,False,True
753102,10598008,Marketing,True,True,False
252323,82493095,Support,False,False,False
406068,64231540,Marketing,False,True,False
990415,15049221,Support,False,False,True
123644,20886440,Support,False,True,False
841235,98154776,Marketing,True,False,False
951791,21135252,Marketing,False,True,False
386953,36697517,Marketing,False,True,False
746400,56339721,Support,False,False,True
455697,44367740,Marketing,False,True,False
193182,75209825,Support,True,False,False
691822,39075197,Support,True,True,True
170289,56102170,Marketing,True,False,False
772784,74813030,Marketing,True,True,False
923703,51649575,Marketing,False,True,True
604754,99833509,Marketing,True,False,False
733780,81600466,Support,True,True,False
973266,30034016,Marketing,True,True,True
102732,37341585,Marketing,False,False,True
219932,97177932,Support,False,False,True
146834,72989477,Marketing,True,True,True
189698,43076597,Support,False,True,False
508036,16485543,Support,False,True,True
674306,37193473,Marketing,False,True,True
514952,80617475,Marketing,False,True,True
241787,48800701,Marketing,True,False,False
250567,60080940,Marketing,False,True,False
236702,65200447,Support,False,True,False
468616,83424620,Marketing,True,False,False
120799,96548723,Support,False,True,False
883541,76651710,Support,False,False,False
725633,18504207,Marketing,True,False,False
421942,41819152,Marketing,False,True,True
986270,55227958,Support,True,True,False
543639,11368372,Marketing,True,False,True
384864,51444587,Support,True,False,False
689848,47341122,Support,False,True,True
924449,93571442,Support,False,True,True
163811,83847974,Support,False,True,True
755721,13526467,Support,True,True,False
148621,77831809,Marketing,False,False,False
779250,98818178,Support,True,False,True
56423,84484923,Support,True,True,True
251585,48171156,Marketing,False,False,True
764820,34007005,Support,False,True,False
212676,93785453,Support,True,False,False
80814,50074297,Marketing,True,True,True
333042,30858707,Support,True,True,False
709037,31556510,Marketing,True,False,True
507101,14290594,Support,False,True,True
856001,93880066,Support,True,True,True
693481,82321225,Marketing,True,True,False
682151,38224234,Support,False,False,True
658332,37363066,Marketing,False,True,True
47374,43839181,Marketing,True,False,False
838872,64655243,Support,False,True,False
493609,53445679,Marketing,True,False,True
32288,58951142,Support,False,True,False
466225,52639629,Marketing,True,False,False
850570,65151707,Support,False,False,False
351093,51000044,Marketing,False,True,True
837763,10977471,Support,True,False,False
166214,45302332,Marketing,True,True,True
458487,80747962,Marketing,True,True,True
319883,38634336,Support,True,False,True
10435,91298062,Support,False,True,True
54388,54179758,Support,False,False,False
998407,79522568,Marketing,False,False,False
842236,13338645,Marketing,True,True,True
267729,21667212,Marketing,True,False,False
984403,32012897,Support,True,True,False
418436,76068139,Marketing,False,False,True
47644,97629695,Marketing,False,False,False
291325,20866237,Marketing,False,True,False
